Category,Price,Rating,Stock,Discount
,5548,1.870322016,,0
,3045,4.757798058,,38
,4004,,In Stock,0
,4808,1.492084885,,33
,1817,,Out of Stock,23
,3522,,,
C,667,3.668340748,In Stock,41
A,7125,4.983998118,Out of Stock,7
A,2777,2.678384421,In Stock,6
,463,4.626187281,,3
A,1151,2.947838085,,
A,3772,4.890749963,In Stock,45
,7719,2.982241782,In Stock,4
C,8416,1.270942732,,29
B,8530,,,10
A,7936,3.032832041,In Stock,44
B,9319,3.479063512,In Stock,28
,,4.097463657,,40
D,2066,,,30
B,1784,,,12
,5589,,,39
C,,,Out of Stock,25
,4176,2.264050692,In Stock,42
D,407,2.774269878,In Stock,44
,7011,,In Stock,38
,8418,,,
,3405,,In Stock,48
D,1732,,,
B,5850,2.264393101,Out of Stock,43
,,2.357527106,,22
,704,,In Stock,47
,2343,1.863224511,Out of Stock,17
,,,,
,1910,3.849494883,Out of Stock,14
,9307,,Out of Stock,21
,2331,3.952257435,,43
D,6164,4.305789482,Out of Stock,1
B,8060,1.905802489,Out of Stock,43
,5607,4.789502194,,15
,4730,,In Stock,30
,9230,,,8
,1112,,In Stock,38
,4390,,In Stock,34
,8484,,Out of Stock,36
D,6415,4.984170226,Out of Stock,12
,4589,,Out of Stock,47
A,2260,,In Stock,37
,1759,4.455343994,,37
,7190,1.924305492,In Stock,
,8675,2.778260648,Out of Stock,
,5412,,Out of Stock,24
A,6304,,,31
C,9870,2.803686494,Out of Stock,37
C,1134,2.886833031,In Stock,15
B,9795,,In Stock,17
B,3445,,In Stock,3
,8421,1.33825381,In Stock,2
,3236,4.951183214,Out of Stock,2
,1624,,Out of Stock,34
,806,4.170806834,,8
,9888,,,29
,8773,1.865998305,Out of Stock,17
D,3977,,Out of Stock,32
D,2251,,,25
,7842,,,30
A,5006,3.835636274,Out of Stock,
,3182,,,13
,1136,,,19
,1066,,Out of Stock,10
B,1029,4.464129273,,38
,1788,,Out of Stock,7
,6249,,In Stock,16
D,8026,,,46
A,9516,1.657350437,,5
,859,1.227945643,,49
,6792,2.493790635,,26
,8631,3.30848051,In Stock,10
,6491,4.645463937,,16
,,4.036652101,In Stock,33
D,642,1.598345401,Out of Stock,28
B,4222,4.213202928,In Stock,20
A,1962,4.976201302,In Stock,6
,2119,3.661720156,,40
,1441,3.414634864,In Stock,43
,6884,,In Stock,49
D,2544,,,
B,6114,,In Stock,44
,8117,,In Stock,45
,,2.581053762,Out of Stock,36
A,4077,,Out of Stock,28
D,2877,3.13016217,Out of Stock,49
B,8723,3.750973129,,41
,8651,4.282273714,,2
,3282,,Out of Stock,40
D,9493,2.780461423,Out of Stock,34
,6578,3.125260769,,28
,7187,,In Stock,12
,1435,,,23
,1561,2.856089457,In Stock,6
,2778,4.647670826,,43
A,4752,4.589987921,In Stock,1
,4502,,In Stock,40
,,,In Stock,1
,578,3.68816202,Out of Stock,36
,3137,2.530595786,Out of Stock,49
C,7417,3.516107652,In Stock,43
C,8024,,,2
,5250,,,6
,6554,,,29
,7267,,,24
,6122,2.567716124,In Stock,15
,1362,3.91365403,Out of Stock,
,6562,3.619314485,Out of Stock,3
C,6879,,In Stock,8
D,6117,4.858685977,,4
C,3182,4.874851836,In Stock,49
,5427,,Out of Stock,15
,251,,,21
,6250,,,33
D,4580,1.532090175,,39
,9161,2.602243655,In Stock,49
,5821,1.168690444,Out of Stock,17
,9990,,Out of Stock,19
,4347,2.568984286,,3
D,2697,1.917479682,,30
,9160,4.392384246,Out of Stock,29
,2072,,,10
C,2122,4.860951674,Out of Stock,29
,8731,,Out of Stock,38
D,5031,,In Stock,4
A,6557,,Out of Stock,32
,3981,,,41
,9459,3.490351838,Out of Stock,42
,3763,,,13
A,2466,,,12
A,6348,,,29
,6345,,Out of Stock,4
,4781,3.236473832,Out of Stock,3
B,8345,,Out of Stock,41
A,5459,,Out of Stock,33
A,8521,1.081564565,Out of Stock,40
,2649,1.985444913,In Stock,25
,3101,1.922891695,,6
D,357,,Out of Stock,32
B,4299,2.938430508,,29
,9799,,Out of Stock,34
A,8832,,,17
A,8251,4.052873659,In Stock,28
A,1465,1.835877108,,
A,9825,,Out of Stock,22
,6442,,In Stock,34
B,7624,,,5
B,4061,2.88285833,In Stock,28
,190,,In Stock,0
,4643,3.193527429,In Stock,4
,5219,,Out of Stock,49
,1197,1.30071938,Out of Stock,
B,8205,4.755317545,Out of Stock,35
,3125,3.295946652,,
D,7239,3.610394007,In Stock,48
,262,,In Stock,36
,7826,3.576635436,In Stock,6
,8532,4.630347071,In Stock,42
D,4625,1.718143164,In Stock,36
,4668,1.761383383,,23
A,5268,,,48
C,249,2.080916746,,15
,5908,,In Stock,42
B,9697,,,26
B,8458,,In Stock,18
,4741,,,27
A,6943,,,42
,,,,11
,758,1.249497755,In Stock,28
,3169,2.619334913,In Stock,25
C,7953,1.572071266,In Stock,39
,8793,3.006402453,Out of Stock,6
D,9114,,In Stock,27
,8893,2.519350543,In Stock,
A,8713,2.380993261,,30
A,1269,,In Stock,38
,8069,,In Stock,31
D,6751,2.337782569,,2
C,4970,2.365565207,,5
,2323,,,
,,,,0
A,5515,4.709545,Out of Stock,
,8846,1.364083153,,4
,2584,,Out of Stock,1
C,7911,2.76573862,Out of Stock,37
D,6799,,Out of Stock,29
,4620,4.340548432,,10
,9424,1.076073768,Out of Stock,
,8409,1.696635602,Out of Stock,29
,9063,3.62453068,Out of Stock,
,8405,1.218936274,In Stock,48
,8070,4.220245877,,20
D,7564,2.576792877,In Stock,35
D,8555,2.381393348,Out of Stock,22
,1870,,In Stock,32
,6864,2.89348282,,10
C,439,2.364554355,In Stock,0
A,1425,1.80376013,In Stock,15
,1612,3.032991896,In Stock,16
,1894,2.329488148,Out of Stock,
,8975,4.469736334,Out of Stock,32
,807,,,13
C,2297,,Out of Stock,21
,7800,,,5
B,1493,3.383623675,Out of Stock,45
,2602,,In Stock,0
D,5381,4.767811269,Out of Stock,10
B,5429,1.746249652,In Stock,6
,734,,,10
B,3365,4.175149078,In Stock,29
D,9318,3.319298849,,18
,5220,,In Stock,0
,381,3.093285397,In Stock,17
,8707,,Out of Stock,39
,3604,,In Stock,17
,5078,4.391163208,Out of Stock,6
,8070,,In Stock,28
C,721,,,
,6921,,Out of Stock,37
D,2622,,,22
C,7231,,,6
,340,,Out of Stock,27
C,9212,,In Stock,0
C,6472,,,27
,3978,,Out of Stock,19
,5746,,Out of Stock,2
,3956,3.455945237,,23
D,8757,,In Stock,49
,2820,3.088923747,,21
D,2001,,Out of Stock,23
,412,3.760118968,Out of Stock,21
,6675,,,43
A,4317,,Out of Stock,13
C,8507,4.575949016,Out of Stock,41
