"DATE","TIME PERIOD","Debt securities held by investment funds  in the euro area (stock) (IVF.Q.U2.N.T0.A30.A.1.Z5.0000.Z01.E)"
"2000-12-31","2000Q4","1391394"
"2001-03-31","2001Q1","1431203"
"2001-06-30","2001Q2","1440588"
"2001-09-30","2001Q3","1438888"
"2001-12-31","2001Q4","1463821"
"2002-03-31","2002Q1","1466408"
"2002-06-30","2002Q2","1467561"
"2002-09-30","2002Q3","1495873"
"2002-12-31","2002Q4","1492094"
"2003-03-31","2003Q1","1490430"
"2003-06-30","2003Q2","1550119"
"2003-09-30","2003Q3","1576761"
"2003-12-31","2003Q4","1561789"
"2004-03-31","2004Q1","1619793"
"2004-06-30","2004Q2","1617841"
"2004-09-30","2004Q3","1662074"
"2004-12-31","2004Q4","1693780"
"2005-03-31","2005Q1","1769491"
"2005-06-30","2005Q2","1866373"
"2005-09-30","2005Q3","1948318"
"2005-12-31","2005Q4","1932249"
"2006-03-31","2006Q1","1985903"
"2006-06-30","2006Q2","1983882"
"2006-09-30","2006Q3","2063612"
"2006-12-31","2006Q4","2085479"
"2007-03-31","2007Q1","2111823"
"2007-06-30","2007Q2","2125093"
"2007-09-30","2007Q3","2093984"
"2007-12-31","2007Q4","2069413"
"2008-03-31","2008Q1","1933143"
"2008-06-30","2008Q2","1879636"
"2008-09-30","2008Q3","1820112"
"2008-12-31","2008Q4","1700940"
"2009-03-31","2009Q1","1705672"
"2009-06-30","2009Q2","1859682"
"2009-09-30","2009Q3","2002631"
"2009-12-31","2009Q4","2082107"
"2010-03-31","2010Q1","2216241"
"2010-06-30","2010Q2","2273774"
"2010-09-30","2010Q3","2343213"
"2010-12-31","2010Q4","2362635"
"2011-03-31","2011Q1","2350290"
"2011-06-30","2011Q2","2386734"
"2011-09-30","2011Q3","2381949"
"2011-12-31","2011Q4","2508203"
"2012-03-31","2012Q1","2678125"
"2012-06-30","2012Q2","2733193"
"2012-09-30","2012Q3","2860094"
"2012-12-31","2012Q4","2970785"
"2013-03-31","2013Q1","3071550"
"2013-06-30","2013Q2","3046924"
"2013-09-30","2013Q3","3099023"
"2013-12-31","2013Q4","3114736"
"2014-03-31","2014Q1","3243896"
"2014-06-30","2014Q2","3401425"
"2014-09-30","2014Q3","3562975"
"2014-12-31","2014Q4","3611602"
"2015-03-31","2015Q1","3963994"
"2015-06-30","2015Q2","3873229"
"2015-09-30","2015Q3","3832798"
"2015-12-31","2015Q4","3867423"
"2016-03-31","2016Q1","3895650"
"2016-06-30","2016Q2","4072857"
"2016-09-30","2016Q3","4208695"
"2016-12-31","2016Q4","4216469"
"2017-03-31","2017Q1","4321872"
"2017-06-30","2017Q2","4386204"
"2017-09-30","2017Q3","4466929"
"2017-12-31","2017Q4","4507960"
"2018-03-31","2018Q1","4577234"
"2018-06-30","2018Q2","4579247"
"2018-09-30","2018Q3","4621112"
"2018-12-31","2018Q4","4565012"
"2019-03-31","2019Q1","4819014"
"2019-06-30","2019Q2","4959527"
"2019-09-30","2019Q3","5238630"
"2019-12-31","2019Q4","5209628"
"2020-03-31","2020Q1","4814219"
"2020-06-30","2020Q2","5142980"
"2020-09-30","2020Q3","5203346"
"2020-12-31","2020Q4","5281422"
"2021-03-31","2021Q1","5318383"
"2021-06-30","2021Q2","5438310"
"2021-09-30","2021Q3","5561891"
"2021-12-31","2021Q4","5566046"
"2022-03-31","2022Q1","5322216"
"2022-06-30","2022Q2","4988563"
"2022-09-30","2022Q3","4825716"
"2022-12-31","2022Q4","4773747"
"2023-03-31","2023Q1","4907164"
"2023-06-30","2023Q2","4995481"
"2023-09-30","2023Q3","5009126"
"2023-12-31","2023Q4","5215334"
"2024-03-31","2024Q1","5352886"
"2024-06-30","2024Q2","5419523"
"2024-09-30","2024Q3","5628596"
"2024-12-31","2024Q4","5795192"
"2025-03-31","2025Q1","5849305"
