"DATE","TIME PERIOD","Deposit and loan claims held by investment funds  in the euro area (stock) (IVF.Q.U2.N.T0.A20.A.1.Z5.0000.Z01.E)"
"2000-12-31","2000Q4","268453"
"2001-03-31","2001Q1","277809"
"2001-06-30","2001Q2","299077"
"2001-09-30","2001Q3","285376"
"2001-12-31","2001Q4","290398"
"2002-03-31","2002Q1","302003"
"2002-06-30","2002Q2","284332"
"2002-09-30","2002Q3","275600"
"2002-12-31","2002Q4","282833"
"2003-03-31","2003Q1","249343"
"2003-06-30","2003Q2","269528"
"2003-09-30","2003Q3","286819"
"2003-12-31","2003Q4","276633"
"2004-03-31","2004Q1","309451"
"2004-06-30","2004Q2","287913"
"2004-09-30","2004Q3","289645"
"2004-12-31","2004Q4","285032"
"2005-03-31","2005Q1","313704"
"2005-06-30","2005Q2","323275"
"2005-09-30","2005Q3","333458"
"2005-12-31","2005Q4","326280"
"2006-03-31","2006Q1","354779"
"2006-06-30","2006Q2","356010"
"2006-09-30","2006Q3","356942"
"2006-12-31","2006Q4","361373"
"2007-03-31","2007Q1","372174"
"2007-06-30","2007Q2","386462"
"2007-09-30","2007Q3","403740"
"2007-12-31","2007Q4","399447"
"2008-03-31","2008Q1","411238"
"2008-06-30","2008Q2","408088"
"2008-09-30","2008Q3","424977"
"2008-12-31","2008Q4","396487"
"2009-03-31","2009Q1","371431"
"2009-06-30","2009Q2","383179"
"2009-09-30","2009Q3","380073"
"2009-12-31","2009Q4","370645"
"2010-03-31","2010Q1","368395"
"2010-06-30","2010Q2","397564"
"2010-09-30","2010Q3","377179"
"2010-12-31","2010Q4","371374"
"2011-03-31","2011Q1","392608"
"2011-06-30","2011Q2","403882"
"2011-09-30","2011Q3","437083"
"2011-12-31","2011Q4","419962"
"2012-03-31","2012Q1","450316"
"2012-06-30","2012Q2","489392"
"2012-09-30","2012Q3","507223"
"2012-12-31","2012Q4","479076"
"2013-03-31","2013Q1","506831"
"2013-06-30","2013Q2","527248"
"2013-09-30","2013Q3","518308"
"2013-12-31","2013Q4","517404"
"2014-03-31","2014Q1","552596"
"2014-06-30","2014Q2","557958"
"2014-09-30","2014Q3","601014"
"2014-12-31","2014Q4","591391"
"2015-03-31","2015Q1","664016"
"2015-06-30","2015Q2","650775"
"2015-09-30","2015Q3","645390"
"2015-12-31","2015Q4","654639"
"2016-03-31","2016Q1","677033"
"2016-06-30","2016Q2","696314"
"2016-09-30","2016Q3","696149"
"2016-12-31","2016Q4","693590"
"2017-03-31","2017Q1","730276"
"2017-06-30","2017Q2","743127"
"2017-09-30","2017Q3","823278"
"2017-12-31","2017Q4","826779"
"2018-03-31","2018Q1","861851"
"2018-06-30","2018Q2","899854"
"2018-09-30","2018Q3","899819"
"2018-12-31","2018Q4","876331"
"2019-03-31","2019Q1","925443"
"2019-06-30","2019Q2","945820"
"2019-09-30","2019Q3","953261"
"2019-12-31","2019Q4","947193"
"2020-03-31","2020Q1","1075258"
"2020-06-30","2020Q2","987895"
"2020-09-30","2020Q3","982783"
"2020-12-31","2020Q4","1001585"
"2021-03-31","2021Q1","1083899"
"2021-06-30","2021Q2","1129534"
"2021-09-30","2021Q3","1150763"
"2021-12-31","2021Q4","1166100"
"2022-03-31","2022Q1","1245297"
"2022-06-30","2022Q2","1276271"
"2022-09-30","2022Q3","1301603"
"2022-12-31","2022Q4","1184635"
"2023-03-31","2023Q1","1169741"
"2023-06-30","2023Q2","1076850"
"2023-09-30","2023Q3","1079733"
"2023-12-31","2023Q4","1054417"
"2024-03-31","2024Q1","1081138"
"2024-06-30","2024Q2","1088908"
"2024-09-30","2024Q3","1113725"
"2024-12-31","2024Q4","1128828"
"2025-03-31","2025Q1","1157667"
