"DATE","TIME PERIOD","Equity held by investment funds  in the euro area (stock) (IVF.Q.U2.N.T0.A5A.A.1.Z5.0000.Z01.E)"
"2000-12-31","2000Q4","1498054"
"2001-03-31","2001Q1","1376337"
"2001-06-30","2001Q2","1450260"
"2001-09-30","2001Q3","1149516"
"2001-12-31","2001Q4","1328481"
"2002-03-31","2002Q1","1377282"
"2002-06-30","2002Q2","1157215"
"2002-09-30","2002Q3","936810"
"2002-12-31","2002Q4","948376"
"2003-03-31","2003Q1","859068"
"2003-06-30","2003Q2","981088"
"2003-09-30","2003Q3","1037996"
"2003-12-31","2003Q4","1147745"
"2004-03-31","2004Q1","1230688"
"2004-06-30","2004Q2","1248570"
"2004-09-30","2004Q3","1222042"
"2004-12-31","2004Q4","1290185"
"2005-03-31","2005Q1","1369085"
"2005-06-30","2005Q2","1451116"
"2005-09-30","2005Q3","1604775"
"2005-12-31","2005Q4","1730906"
"2006-03-31","2006Q1","1943937"
"2006-06-30","2006Q2","1831728"
"2006-09-30","2006Q3","1921137"
"2006-12-31","2006Q4","2066201"
"2007-03-31","2007Q1","2117585"
"2007-06-30","2007Q2","2261099"
"2007-09-30","2007Q3","2208448"
"2007-12-31","2007Q4","2113876"
"2008-03-31","2008Q1","1721601"
"2008-06-30","2008Q2","1677481"
"2008-09-30","2008Q3","1468859"
"2008-12-31","2008Q4","1141332"
"2009-03-31","2009Q1","1057443"
"2009-06-30","2009Q2","1239949"
"2009-09-30","2009Q3","1549610"
"2009-12-31","2009Q4","1677264"
"2010-03-31","2010Q1","1815371"
"2010-06-30","2010Q2","1713400"
"2010-09-30","2010Q3","1796173"
"2010-12-31","2010Q4","1992724"
"2011-03-31","2011Q1","1976699"
"2011-06-30","2011Q2","1959862"
"2011-09-30","2011Q3","1638218"
"2011-12-31","2011Q4","1736929"
"2012-03-31","2012Q1","1889239"
"2012-06-30","2012Q2","1818931"
"2012-09-30","2012Q3","1921178"
"2012-12-31","2012Q4","1986869"
"2013-03-31","2013Q1","2143294"
"2013-06-30","2013Q2","2095776"
"2013-09-30","2013Q3","2229324"
"2013-12-31","2013Q4","2370166"
"2014-03-31","2014Q1","2423158"
"2014-06-30","2014Q2","2570232"
"2014-09-30","2014Q3","2669778"
"2014-12-31","2014Q4","2753799"
"2015-03-31","2015Q1","3186489"
"2015-06-30","2015Q2","3114607"
"2015-09-30","2015Q3","2857331"
"2015-12-31","2015Q4","3088767"
"2016-03-31","2016Q1","2932401"
"2016-06-30","2016Q2","2975092"
"2016-09-30","2016Q3","3133414"
"2016-12-31","2016Q4","3306924"
"2017-03-31","2017Q1","3514219"
"2017-06-30","2017Q2","3530104"
"2017-09-30","2017Q3","3667163"
"2017-12-31","2017Q4","3826545"
"2018-03-31","2018Q1","3758553"
"2018-06-30","2018Q2","3898373"
"2018-09-30","2018Q3","4035740"
"2018-12-31","2018Q4","3597256"
"2019-03-31","2019Q1","4031399"
"2019-06-30","2019Q2","4088689"
"2019-09-30","2019Q3","4225916"
"2019-12-31","2019Q4","4544318"
"2020-03-31","2020Q1","3644707"
"2020-06-30","2020Q2","4211153"
"2020-09-30","2020Q3","4437640"
"2020-12-31","2020Q4","5029372"
"2021-03-31","2021Q1","5572864"
"2021-06-30","2021Q2","6048698"
"2021-09-30","2021Q3","6164528"
"2021-12-31","2021Q4","6648948"
"2022-03-31","2022Q1","6326625"
"2022-06-30","2022Q2","5760095"
"2022-09-30","2022Q3","5597397"
"2022-12-31","2022Q4","5599812"
"2023-03-31","2023Q1","5875292"
"2023-06-30","2023Q2","6068593"
"2023-09-30","2023Q3","5977226"
"2023-12-31","2023Q4","6299264"
"2024-03-31","2024Q1","6772871"
"2024-06-30","2024Q2","6965392"
"2024-09-30","2024Q3","7128439"
"2024-12-31","2024Q4","7464506"
"2025-03-31","2025Q1","7305422"
