"DATE","TIME PERIOD","IF and MMF shares/units held by investment funds  in the euro area (stock) (IVF.Q.U2.N.T0.A52.A.1.Z5.0000.Z01.E)"
"2000-12-31","2000Q4","213094"
"2001-03-31","2001Q1","222586"
"2001-06-30","2001Q2","249643"
"2001-09-30","2001Q3","226062"
"2001-12-31","2001Q4","249061"
"2002-03-31","2002Q1","268101"
"2002-06-30","2002Q2","258045"
"2002-09-30","2002Q3","244722"
"2002-12-31","2002Q4","245426"
"2003-03-31","2003Q1","249286"
"2003-06-30","2003Q2","272167"
"2003-09-30","2003Q3","286323"
"2003-12-31","2003Q4","301302"
"2004-03-31","2004Q1","332673"
"2004-06-30","2004Q2","353121"
"2004-09-30","2004Q3","356903"
"2004-12-31","2004Q4","374496"
"2005-03-31","2005Q1","407803"
"2005-06-30","2005Q2","451828"
"2005-09-30","2005Q3","500461"
"2005-12-31","2005Q4","549260"
"2006-03-31","2006Q1","618619"
"2006-06-30","2006Q2","647051"
"2006-09-30","2006Q3","678108"
"2006-12-31","2006Q4","721995"
"2007-03-31","2007Q1","772943"
"2007-06-30","2007Q2","842248"
"2007-09-30","2007Q3","829753"
"2007-12-31","2007Q4","839306"
"2008-03-31","2008Q1","775768"
"2008-06-30","2008Q2","748989"
"2008-09-30","2008Q3","700184"
"2008-12-31","2008Q4","640942"
"2009-03-31","2009Q1","611392"
"2009-06-30","2009Q2","646436"
"2009-09-30","2009Q3","703857"
"2009-12-31","2009Q4","736195"
"2010-03-31","2010Q1","802183"
"2010-06-30","2010Q2","812269"
"2010-09-30","2010Q3","841447"
"2010-12-31","2010Q4","884937"
"2011-03-31","2011Q1","894291"
"2011-06-30","2011Q2","898930"
"2011-09-30","2011Q3","841293"
"2011-12-31","2011Q4","850480"
"2012-03-31","2012Q1","901457"
"2012-06-30","2012Q2","892053"
"2012-09-30","2012Q3","937074"
"2012-12-31","2012Q4","973932"
"2013-03-31","2013Q1","1038202"
"2013-06-30","2013Q2","1028890"
"2013-09-30","2013Q3","1074981"
"2013-12-31","2013Q4","1129063"
"2014-03-31","2014Q1","1189032"
"2014-06-30","2014Q2","1253472"
"2014-09-30","2014Q3","1313752"
"2014-12-31","2014Q4","1414948"
"2015-03-31","2015Q1","1580888"
"2015-06-30","2015Q2","1618265"
"2015-09-30","2015Q3","1557121"
"2015-12-31","2015Q4","1636995"
"2016-03-31","2016Q1","1618412"
"2016-06-30","2016Q2","1670556"
"2016-09-30","2016Q3","1732276"
"2016-12-31","2016Q4","1789201"
"2017-03-31","2017Q1","1876414"
"2017-06-30","2017Q2","1935385"
"2017-09-30","2017Q3","1985601"
"2017-12-31","2017Q4","2038096"
"2018-03-31","2018Q1","2043847"
"2018-06-30","2018Q2","2079405"
"2018-09-30","2018Q3","2128700"
"2018-12-31","2018Q4","2043740"
"2019-03-31","2019Q1","2173481"
"2019-06-30","2019Q2","2227638"
"2019-09-30","2019Q3","2296805"
"2019-12-31","2019Q4","2413823"
"2020-03-31","2020Q1","2142880"
"2020-06-30","2020Q2","2304625"
"2020-09-30","2020Q3","2389751"
"2020-12-31","2020Q4","2563374"
"2021-03-31","2021Q1","2706082"
"2021-06-30","2021Q2","2854405"
"2021-09-30","2021Q3","2973169"
"2021-12-31","2021Q4","3193981"
"2022-03-31","2022Q1","3145842"
"2022-06-30","2022Q2","3047232"
"2022-09-30","2022Q3","3039299"
"2022-12-31","2022Q4","3021982"
"2023-03-31","2023Q1","3070815"
"2023-06-30","2023Q2","3145911"
"2023-09-30","2023Q3","3180684"
"2023-12-31","2023Q4","3280019"
"2024-03-31","2024Q1","3383588"
"2024-06-30","2024Q2","3519917"
"2024-09-30","2024Q3","3639982"
"2024-12-31","2024Q4","3806685"
"2025-03-31","2025Q1","3789947"
