"DATE","TIME PERIOD","Total assets held by investment funds  in the euro area (stock) (IVF.Q.U2.N.T0.T00.A.1.Z5.0000.Z01.E)"
"2000-12-31","2000Q4","3629068"
"2001-03-31","2001Q1","3559282"
"2001-06-30","2001Q2","3695055"
"2001-09-30","2001Q3","3343617"
"2001-12-31","2001Q4","3600123"
"2002-03-31","2002Q1","3686974"
"2002-06-30","2002Q2","3426999"
"2002-09-30","2002Q3","3217142"
"2002-12-31","2002Q4","3231236"
"2003-03-31","2003Q1","3107270"
"2003-06-30","2003Q2","3345580"
"2003-09-30","2003Q3","3496941"
"2003-12-31","2003Q4","3614028"
"2004-03-31","2004Q1","3851062"
"2004-06-30","2004Q2","3875553"
"2004-09-30","2004Q3","3898482"
"2004-12-31","2004Q4","4047366"
"2005-03-31","2005Q1","4279363"
"2005-06-30","2005Q2","4536239"
"2005-09-30","2005Q3","4874981"
"2005-12-31","2005Q4","5052487"
"2006-03-31","2006Q1","5496273"
"2006-06-30","2006Q2","5418039"
"2006-09-30","2006Q3","5643108"
"2006-12-31","2006Q4","5875092"
"2007-03-31","2007Q1","6057832"
"2007-06-30","2007Q2","6355715"
"2007-09-30","2007Q3","6256974"
"2007-12-31","2007Q4","6145969"
"2008-03-31","2008Q1","5515858"
"2008-06-30","2008Q2","5374680"
"2008-09-30","2008Q3","5054694"
"2008-12-31","2008Q4","4481358"
"2009-03-31","2009Q1","4335485"
"2009-06-30","2009Q2","4717600"
"2009-09-30","2009Q3","5203629"
"2009-12-31","2009Q4","5448453"
"2010-03-31","2010Q1","5874822"
"2010-06-30","2010Q2","5894316"
"2010-09-30","2010Q3","6079451"
"2010-12-31","2010Q4","6305824"
"2011-03-31","2011Q1","6369892"
"2011-06-30","2011Q2","6390752"
"2011-09-30","2011Q3","6108975"
"2011-12-31","2011Q4","6241157"
"2012-03-31","2012Q1","6709109"
"2012-06-30","2012Q2","6734610"
"2012-09-30","2012Q3","7061260"
"2012-12-31","2012Q4","7198075"
"2013-03-31","2013Q1","7625204"
"2013-06-30","2013Q2","7607761"
"2013-09-30","2013Q3","7792463"
"2013-12-31","2013Q4","7956230"
"2014-03-31","2014Q1","8340241"
"2014-06-30","2014Q2","8726874"
"2014-09-30","2014Q3","9177382"
"2014-12-31","2014Q4","9320229"
"2015-03-31","2015Q1","10505903"
"2015-06-30","2015Q2","10342338"
"2015-09-30","2015Q3","10012502"
"2015-12-31","2015Q4","10342910"
"2016-03-31","2016Q1","10264244"
"2016-06-30","2016Q2","10544993"
"2016-09-30","2016Q3","10880872"
"2016-12-31","2016Q4","11088361"
"2017-03-31","2017Q1","11640318"
"2017-06-30","2017Q2","11782684"
"2017-09-30","2017Q3","12040239"
"2017-12-31","2017Q4","12264330"
"2018-03-31","2018Q1","12382163"
"2018-06-30","2018Q2","12615527"
"2018-09-30","2018Q3","12858353"
"2018-12-31","2018Q4","12216878"
"2019-03-31","2019Q1","13165104"
"2019-06-30","2019Q2","13479163"
"2019-09-30","2019Q3","13958274"
"2019-12-31","2019Q4","14279363"
"2020-03-31","2020Q1","13107774"
"2020-06-30","2020Q2","13933439"
"2020-09-30","2020Q3","14262520"
"2020-12-31","2020Q4","15114570"
"2021-03-31","2021Q1","16008534"
"2021-06-30","2021Q2","16697281"
"2021-09-30","2021Q3","17148017"
"2021-12-31","2021Q4","17908420"
"2022-03-31","2022Q1","17503495"
"2022-06-30","2022Q2","16468960"
"2022-09-30","2022Q3","16202353"
"2022-12-31","2022Q4","15907924"
"2023-03-31","2023Q1","16378737"
"2023-06-30","2023Q2","16643739"
"2023-09-30","2023Q3","16620341"
"2023-12-31","2023Q4","17185570"
"2024-03-31","2024Q1","17992450"
"2024-06-30","2024Q2","18456778"
"2024-09-30","2024Q3","19046469"
"2024-12-31","2024Q4","19729575"
"2025-03-31","2025Q1","19795369"
