"DATE","TIME PERIOD","Non-financial assets held by investment funds  in the euro area (stock) (IVF.Q.U2.N.T0.A60.A.1.Z5.0000.Z01.E)"
"2000-12-31","2000Q4","90137"
"2001-03-31","2001Q1","92944"
"2001-06-30","2001Q2","96928"
"2001-09-30","2001Q3","97397"
"2001-12-31","2001Q4","101273"
"2002-03-31","2002Q1","103496"
"2002-06-30","2002Q2","99299"
"2002-09-30","2002Q3","105762"
"2002-12-31","2002Q4","105849"
"2003-03-31","2003Q1","105817"
"2003-06-30","2003Q2","109672"
"2003-09-30","2003Q3","114585"
"2003-12-31","2003Q4","121346"
"2004-03-31","2004Q1","124763"
"2004-06-30","2004Q2","129422"
"2004-09-30","2004Q3","132800"
"2004-12-31","2004Q4","140027"
"2005-03-31","2005Q1","142618"
"2005-06-30","2005Q2","145853"
"2005-09-30","2005Q3","149655"
"2005-12-31","2005Q4","158052"
"2006-03-31","2006Q1","159812"
"2006-06-30","2006Q2","164710"
"2006-09-30","2006Q3","166078"
"2006-12-31","2006Q4","175924"
"2007-03-31","2007Q1","176918"
"2007-06-30","2007Q2","175071"
"2007-09-30","2007Q3","175268"
"2007-12-31","2007Q4","182802"
"2008-03-31","2008Q1","185978"
"2008-06-30","2008Q2","193231"
"2008-09-30","2008Q3","193709"
"2008-12-31","2008Q4","206505"
"2009-03-31","2009Q1","210013"
"2009-06-30","2009Q2","218968"
"2009-09-30","2009Q3","218108"
"2009-12-31","2009Q4","225330"
"2010-03-31","2010Q1","248701"
"2010-06-30","2010Q2","257567"
"2010-09-30","2010Q3","258531"
"2010-12-31","2010Q4","230115"
"2011-03-31","2011Q1","232962"
"2011-06-30","2011Q2","233434"
"2011-09-30","2011Q3","237333"
"2011-12-31","2011Q4","237300"
"2012-03-31","2012Q1","242063"
"2012-06-30","2012Q2","244748"
"2012-09-30","2012Q3","244461"
"2012-12-31","2012Q4","246979"
"2013-03-31","2013Q1","247585"
"2013-06-30","2013Q2","248668"
"2013-09-30","2013Q3","250659"
"2013-12-31","2013Q4","254291"
"2014-03-31","2014Q1","260186"
"2014-06-30","2014Q2","263759"
"2014-09-30","2014Q3","268445"
"2014-12-31","2014Q4","268595"
"2015-03-31","2015Q1","271877"
"2015-06-30","2015Q2","275543"
"2015-09-30","2015Q3","322573"
"2015-12-31","2015Q4","329036"
"2016-03-31","2016Q1","331847"
"2016-06-30","2016Q2","323938"
"2016-09-30","2016Q3","328839"
"2016-12-31","2016Q4","332987"
"2017-03-31","2017Q1","338389"
"2017-06-30","2017Q2","349278"
"2017-09-30","2017Q3","352376"
"2017-12-31","2017Q4","363762"
"2018-03-31","2018Q1","372874"
"2018-06-30","2018Q2","384148"
"2018-09-30","2018Q3","397569"
"2018-12-31","2018Q4","406655"
"2019-03-31","2019Q1","419067"
"2019-06-30","2019Q2","426276"
"2019-09-30","2019Q3","438175"
"2019-12-31","2019Q4","453077"
"2020-03-31","2020Q1","457028"
"2020-06-30","2020Q2","464171"
"2020-09-30","2020Q3","466124"
"2020-12-31","2020Q4","484925"
"2021-03-31","2021Q1","488491"
"2021-06-30","2021Q2","502105"
"2021-09-30","2021Q3","508802"
"2021-12-31","2021Q4","534336"
"2022-03-31","2022Q1","542925"
"2022-06-30","2022Q2","548017"
"2022-09-30","2022Q3","551724"
"2022-12-31","2022Q4","568052"
"2023-03-31","2023Q1","567382"
"2023-06-30","2023Q2","570963"
"2023-09-30","2023Q3","569539"
"2023-12-31","2023Q4","573098"
"2024-03-31","2024Q1","571964"
"2024-06-30","2024Q2","586079"
"2024-09-30","2024Q3","579353"
"2024-12-31","2024Q4","585522"
"2025-03-31","2025Q1","588815"
