"DATE","TIME PERIOD","Remaining assets and financial derivatives held by investment funds  in the euro area (stock) (IVF.Q.U2.N.T0.AT1.A.1.Z5.0000.Z01.E)"
"2000-12-31","2000Q4","167937"
"2001-03-31","2001Q1","158303"
"2001-06-30","2001Q2","158460"
"2001-09-30","2001Q3","146277"
"2001-12-31","2001Q4","167089"
"2002-03-31","2002Q1","169683"
"2002-06-30","2002Q2","160545"
"2002-09-30","2002Q3","158375"
"2002-12-31","2002Q4","156658"
"2003-03-31","2003Q1","153323"
"2003-06-30","2003Q2","163005"
"2003-09-30","2003Q3","194455"
"2003-12-31","2003Q4","205213"
"2004-03-31","2004Q1","233697"
"2004-06-30","2004Q2","238688"
"2004-09-30","2004Q3","235018"
"2004-12-31","2004Q4","263847"
"2005-03-31","2005Q1","276664"
"2005-06-30","2005Q2","297796"
"2005-09-30","2005Q3","338314"
"2005-12-31","2005Q4","355738"
"2006-03-31","2006Q1","433221"
"2006-06-30","2006Q2","434657"
"2006-09-30","2006Q3","457232"
"2006-12-31","2006Q4","464118"
"2007-03-31","2007Q1","506389"
"2007-06-30","2007Q2","565743"
"2007-09-30","2007Q3","545782"
"2007-12-31","2007Q4","541124"
"2008-03-31","2008Q1","488068"
"2008-06-30","2008Q2","467198"
"2008-09-30","2008Q3","446806"
"2008-12-31","2008Q4","395144"
"2009-03-31","2009Q1","379527"
"2009-06-30","2009Q2","369374"
"2009-09-30","2009Q3","349362"
"2009-12-31","2009Q4","356907"
"2010-03-31","2010Q1","423924"
"2010-06-30","2010Q2","439739"
"2010-09-30","2010Q3","462906"
"2010-12-31","2010Q4","464040"
"2011-03-31","2011Q1","523043"
"2011-06-30","2011Q2","507902"
"2011-09-30","2011Q3","573089"
"2011-12-31","2011Q4","488277"
"2012-03-31","2012Q1","547907"
"2012-06-30","2012Q2","556294"
"2012-09-30","2012Q3","591226"
"2012-12-31","2012Q4","540432"
"2013-03-31","2013Q1","617738"
"2013-06-30","2013Q2","660261"
"2013-09-30","2013Q3","620159"
"2013-12-31","2013Q4","570561"
"2014-03-31","2014Q1","671369"
"2014-06-30","2014Q2","680059"
"2014-09-30","2014Q3","761412"
"2014-12-31","2014Q4","679942"
"2015-03-31","2015Q1","838635"
"2015-06-30","2015Q2","809910"
"2015-09-30","2015Q3","797287"
"2015-12-31","2015Q4","766049"
"2016-03-31","2016Q1","808901"
"2016-06-30","2016Q2","806234"
"2016-09-30","2016Q3","781462"
"2016-12-31","2016Q4","749195"
"2017-03-31","2017Q1","859144"
"2017-06-30","2017Q2","838581"
"2017-09-30","2017Q3","744852"
"2017-12-31","2017Q4","701172"
"2018-03-31","2018Q1","767794"
"2018-06-30","2018Q2","774503"
"2018-09-30","2018Q3","775408"
"2018-12-31","2018Q4","727880"
"2019-03-31","2019Q1","796691"
"2019-06-30","2019Q2","831205"
"2019-09-30","2019Q3","805482"
"2019-12-31","2019Q4","711312"
"2020-03-31","2020Q1","973674"
"2020-06-30","2020Q2","822616"
"2020-09-30","2020Q3","782870"
"2020-12-31","2020Q4","753891"
"2021-03-31","2021Q1","838813"
"2021-06-30","2021Q2","724229"
"2021-09-30","2021Q3","788862"
"2021-12-31","2021Q4","798997"
"2022-03-31","2022Q1","920595"
"2022-06-30","2022Q2","848518"
"2022-09-30","2022Q3","886651"
"2022-12-31","2022Q4","759694"
"2023-03-31","2023Q1","788328"
"2023-06-30","2023Q2","785939"
"2023-09-30","2023Q3","804026"
"2023-12-31","2023Q4","763438"
"2024-03-31","2024Q1","829993"
"2024-06-30","2024Q2","876961"
"2024-09-30","2024Q3","956372"
"2024-12-31","2024Q4","948840"
"2025-03-31","2025Q1","1104216"
